PART#	LABEL	DIAMETER	SETBACKAREA
5000005	CF133-050	0.505	1.0479575
5000006	CF133-075	0.755	0.135972
6000001	ASA100-100	1.01	0.1998641
5000061	CF275-125	1.26	0.2528785
6000002	ASA100-150	1.51	0.3058929
5000063	CF275-162	1.63	0.162184721
6000005	ASA150-200	2.01	0.411921702
6000006	ASA150-250	2.51	0.517950454
6000010	ASA200-300	3.01	0.336351476
6000011	ASA200-350	3.51	0.39500146
6000015	ASA300-400	4.01	0.622035345
5000138	CF675-500	5.02	1.12686965
6000018	ASA400-600	6.02	1.354635117
6000021	ASA600-800	8.02	1.80166052
6000024	ASA800-1000	10.03	2.423169319
6000027	ASA1000-12000	12.03	2.816830513
4500142	LFB400-1600-SF	16.03	10.09356335
4500143	LFB500-2000-SF	20.04	12.92841953

